Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross income,Rating
875-31-8302,B,Mandalay,0,0,ST,93.38,1,4.669,98.049,2019-01-03,13:07:00,C,93.38,4.669,9.6
422-29-8786,A,Yangon,0,1,HL,67.09,5,16.7725,352.2225,2019-01-03,16:47:00,CC,335.45,16.7725,9.1
552-44-5977,B,Mandalay,1,0,HB,62.0,8,24.8,520.8,2019-01-03,19:08:00,CC,496.0,24.8,6.2
687-15-1097,C,Naypyitaw,1,1,HB,21.12,2,2.112,44.352,2019-01-03,19:17:00,C,42.24,2.112,9.7
501-61-1753,B,Mandalay,0,1,HL,63.15,6,18.945,397.845,2019-01-03,20:24:00,E,378.9,18.945,9.8
132-23-6451,A,Yangon,1,0,HB,20.97,5,5.2425,110.0925,2019-01-04,13:21:00,C,104.85,5.2425,7.8
656-16-1063,B,Mandalay,0,0,ST,46.42,3,6.963,146.223,2019-01-04,13:24:00,CC,139.26,6.963,4.4
731-14-2199,A,Yangon,1,1,HL,35.54,10,17.77,373.17,2019-01-04,13:34:00,E,355.4,17.77,7.0
672-51-8681,C,Naypyitaw,1,1,EA,66.65,9,29.9925,629.8425,2019-01-04,18:19:00,CC,599.85,29.9925,9.7
725-32-9708,B,Mandalay,1,1,FA,68.71,4,13.742,288.582,2019-01-04,19:01:00,C,274.84,13.742,4.1
279-74-2924,B,Mandalay,1,0,EA,72.17,1,3.6085,75.7785,2019-01-04,19:40:00,C,72.17,3.6085,6.1
217-58-1179,A,Yangon,1,0,HL,62.65,4,12.53,263.13,2019-01-05,11:25:00,C,250.6,12.53,4.2
339-12-4827,B,Mandalay,1,1,FA,73.96,1,3.698,77.658,2019-01-05,11:32:00,CC,73.96,3.698,5.0
489-82-1237,A,Yangon,0,1,EA,93.88,7,32.858,690.018,2019-01-05,11:51:00,CC,657.16,32.858,7.3
573-98-8548,C,Naypyitaw,1,1,FA,31.9,1,1.595,33.495,2019-01-05,12:40:00,E,31.9,1.595,9.1
750-67-8428,A,Yangon,1,1,HB,74.69,7,26.1415,548.9715,2019-01-05,13:08:00,E,522.83,26.1415,9.1
144-51-6085,A,Yangon,1,0,HL,70.74,4,14.148,297.108,2019-01-05,16:05:00,CC,282.96,14.148,4.4
209-61-0206,A,Yangon,0,1,HL,42.91,5,10.7275,225.2775,2019-01-05,17:29:00,E,214.55,10.7275,6.1
433-08-7822,C,Naypyitaw,0,1,HB,78.89,7,27.6115,579.8415,2019-01-05,19:48:00,E,552.23,27.6115,7.5
843-01-4703,B,Mandalay,1,1,HL,35.38,9,15.921,334.341,2019-01-05,19:50:00,CC,318.42,15.921,9.6
801-88-0346,C,Naypyitaw,0,1,FA,76.06,3,11.409,239.589,2019-01-05,20:30:00,CC,228.18,11.409,9.8
841-18-8232,B,Mandalay,0,1,FB,71.2,1,3.56,74.76,2019-01-05,20:40:00,CC,71.2,3.56,9.2
628-34-3388,C,Naypyitaw,0,0,FA,27.38,6,8.214,172.494,2019-01-05,20:54:00,CC,164.28,8.214,7.9
490-29-1201,A,Yangon,0,1,ST,15.34,1,0.767,16.107,2019-01-06,11:09:00,C,15.34,0.767,6.5
729-06-2010,B,Mandalay,1,0,HB,80.47,9,36.2115,760.4415,2019-01-06,11:18:00,C,724.23,36.2115,9.2
704-11-6354,A,Yangon,1,0,HL,58.9,8,23.56,494.76,2019-01-06,11:23:00,C,471.2,23.56,8.9
846-10-0341,A,Yangon,0,1,FA,42.57,7,14.8995,312.8895,2019-01-06,11:51:00,C,297.99,14.8995,6.8
834-25-9262,C,Naypyitaw,0,1,FA,81.68,4,16.336,343.056,2019-01-06,12:12:00,C,326.72,16.336,9.1
393-65-2792,C,Naypyitaw,0,0,FB,89.48,10,44.74,939.54,2019-01-06,12:46:00,CC,894.8,44.74,9.6
852-82-2749,A,Yangon,0,0,ST,64.59,4,12.918,271.278,2019-01-06,13:35:00,E,258.36,12.918,9.3
662-72-2873,A,Yangon,0,1,FB,40.94,5,10.235,214.935,2019-01-06,13:58:00,E,204.7,10.235,9.9
826-58-8051,B,Mandalay,0,0,HL,62.19,4,12.438,261.198,2019-01-06,19:46:00,E,248.76,12.438,4.3
126-54-1082,A,Yangon,1,1,HL,21.54,9,9.693,203.553,2019-01-07,11:44:00,CC,193.86,9.693,8.8
541-48-8554,A,Yangon,0,0,ST,60.95,9,27.4275,575.9775,2019-01-07,12:08:00,CC,548.55,27.4275,6.0
889-04-9723,B,Mandalay,1,1,FB,89.14,4,17.828,374.388,2019-01-07,12:20:00,CC,356.56,17.828,7.8
232-16-2483,C,Naypyitaw,1,1,ST,68.12,1,3.406,71.526,2019-01-07,12:28:00,E,68.12,3.406,6.8
390-31-6381,C,Naypyitaw,0,0,FB,27.22,3,4.083,85.743,2019-01-07,12:37:00,C,81.66,4.083,7.3
109-28-2512,B,Mandalay,1,1,FA,97.61,6,29.283,614.943,2019-01-07,15:01:00,E,585.66,29.283,9.9
799-71-1548,A,Yangon,1,0,EA,77.72,4,15.544,326.424,2019-01-07,16:11:00,CC,310.88,15.544,8.8
526-86-8552,C,Naypyitaw,1,1,HL,21.82,10,10.91,229.11,2019-01-07,17:36:00,C,218.2,10.91,7.1
566-19-5475,B,Mandalay,0,0,FA,47.97,7,16.7895,352.5795,2019-01-07,20:52:00,C,335.79,16.7895,6.2
442-44-6497,C,Naypyitaw,1,0,HL,55.57,3,8.3355,175.0455,2019-01-08,11:42:00,CC,166.71,8.3355,5.9
767-97-4650,B,Mandalay,1,1,ST,64.83,2,6.483,136.143,2019-01-08,11:59:00,CC,129.66,6.483,8.0
387-49-4215,B,Mandalay,1,1,ST,48.5,3,7.275,152.775,2019-01-08,12:50:00,C,145.5,7.275,6.7
241-96-5076,B,Mandalay,1,1,HL,49.1,2,4.91,103.11,2019-01-08,12:58:00,CC,98.2,4.91,6.4
674-15-9296,A,Yangon,0,0,ST,37.14,5,9.285,194.985,2019-01-08,13:05:00,E,185.7,9.285,5.0
750-57-9686,C,Naypyitaw,0,1,HL,45.38,4,9.076,190.596,2019-01-08,13:48:00,CC,181.52,9.076,8.7
192-98-7397,C,Naypyitaw,0,0,FA,12.78,1,0.639,13.419,2019-01-08,14:11:00,E,12.78,0.639,9.5
490-95-0021,B,Mandalay,1,1,FB,33.21,10,16.605,348.705,2019-01-08,14:25:00,E,332.1,16.605,6.0
124-31-1458,A,Yangon,1,1,EA,79.59,3,11.9385,250.7085,2019-01-08,14:30:00,C,238.77,11.9385,6.6
663-86-9076,C,Naypyitaw,1,1,FB,68.54,8,27.416,575.736,2019-01-08,15:57:00,E,548.32,27.416,8.5
189-08-9157,C,Naypyitaw,0,1,FA,31.73,9,14.2785,299.8485,2019-01-08,16:17:00,CC,285.57,14.2785,5.9
257-60-7754,A,Yangon,0,1,EA,50.23,4,10.046,210.966,2019-01-08,17:12:00,C,200.92,10.046,9.0
840-76-5966,A,Yangon,1,0,ST,12.76,2,1.276,26.796,2019-01-08,18:06:00,E,25.52,1.276,7.8
457-13-1708,B,Mandalay,1,0,FA,65.23,10,32.615,684.915,2019-01-08,19:07:00,CC,652.3,32.615,5.2
631-34-1880,C,Naypyitaw,1,0,FB,24.31,3,3.6465,76.5765,2019-01-08,19:09:00,CC,72.93,3.6465,4.3
845-94-6841,C,Naypyitaw,1,1,FB,72.88,9,32.796,688.716,2019-01-08,19:38:00,C,655.92,32.796,4.0
484-22-8230,C,Naypyitaw,1,1,FA,51.89,7,18.1615,381.3915,2019-01-08,20:08:00,C,363.23,18.1615,4.5
571-94-0759,B,Mandalay,1,1,FB,74.6,10,37.3,783.3,2019-01-08,20:55:00,C,746.0,37.3,9.5
189-40-5216,C,Naypyitaw,0,0,EA,96.37,7,33.7295,708.3195,2019-01-09,11:40:00,C,674.59,33.7295,6.0
867-47-1948,C,Naypyitaw,0,1,HL,15.8,10,7.9,165.9,2019-01-09,12:07:00,C,158.0,7.9,7.8
288-62-1085,A,Yangon,1,0,FA,38.54,5,9.635,202.335,2019-01-09,13:34:00,E,192.7,9.635,5.6
554-42-2417,C,Naypyitaw,0,1,ST,95.44,10,4.154,87.234,2019-01-09,13:45:00,C,83.08,4.154,5.2
370-96-0655,C,Naypyitaw,0,1,FA,49.32,6,14.796,310.716,2019-01-09,13:46:00,E,295.92,14.796,7.1
263-10-3913,C,Naypyitaw,1,0,FA,49.04,9,22.068,463.428,2019-01-09,14:20:00,CC,441.36,22.068,8.6
343-75-9322,B,Mandalay,1,1,ST,11.85,8,4.74,99.54,2019-01-09,16:34:00,C,94.8,4.74,4.1
305-89-2768,B,Mandalay,1,1,HL,21.9,3,3.285,68.985,2019-01-09,18:43:00,E,65.7,3.285,4.7
887-42-0517,C,Naypyitaw,0,1,ST,83.14,7,29.099,611.079,2019-01-10,10:31:00,CC,581.98,29.099,6.6
241-11-2261,B,Mandalay,0,1,FA,79.86,7,27.951,586.971,2019-01-10,10:33:00,CC,559.02,27.951,5.5
226-34-0034,B,Mandalay,0,1,EA,13.78,4,2.756,57.876,2019-01-10,11:10:00,E,55.12,2.756,9.0
603-07-0961,C,Naypyitaw,1,0,EA,74.79,5,18.6975,392.6475,2019-01-10,11:34:00,C,373.95,18.6975,4.9
744-02-5987,A,Yangon,1,0,HL,78.38,6,23.514,493.794,2019-01-10,14:16:00,E,470.28,23.514,5.8
640-49-2076,B,Mandalay,0,0,ST,83.78,8,33.512,703.752,2019-01-10,14:49:00,C,670.24,33.512,5.1
873-51-0671,A,Yangon,1,1,ST,21.98,7,7.693,161.553,2019-01-10,16:42:00,E,153.86,7.693,5.1
665-32-9167,A,Yangon,1,1,HB,36.26,2,3.626,76.146,2019-01-10,17:15:00,CC,72.52,3.626,7.2
577-34-7579,C,Naypyitaw,1,0,FB,50.49,9,22.7205,477.1305,2019-01-10,17:16:00,C,454.41,22.7205,5.4
289-15-7034,A,Yangon,1,0,ST,82.33,4,16.466,345.786,2019-01-11,10:37:00,CC,329.32,16.466,7.5
478-06-7835,A,Yangon,0,0,FA,89.69,1,4.4845,94.1745,2019-01-11,11:20:00,E,89.69,4.4845,4.9
406-46-7107,A,Yangon,0,1,HL,96.52,6,28.956,608.076,2019-01-11,11:52:00,C,579.12,28.956,4.5
130-67-4723,A,Yangon,1,0,FB,48.5,6,14.55,305.55,2019-01-11,13:57:00,E,291.0,14.55,9.4
746-68-6593,C,Naypyitaw,1,1,ST,87.16,2,8.716,183.036,2019-01-11,14:29:00,CC,174.32,8.716,9.7
540-11-4336,A,Yangon,0,0,FB,24.94,9,11.223,235.683,2019-01-11,16:49:00,CC,224.46,11.223,5.6
732-67-5346,A,Yangon,0,0,FB,13.79,5,3.4475,72.3975,2019-01-11,19:07:00,CC,68.95,3.4475,7.8
592-46-1692,C,Naypyitaw,1,1,FB,36.77,7,12.8695,270.2595,2019-01-11,20:10:00,C,257.39,12.8695,7.4
852-62-7105,B,Mandalay,0,1,FA,83.25,10,41.625,874.125,2019-01-12,11:25:00,CC,832.5,41.625,4.4
533-66-5566,B,Mandalay,0,1,HL,51.07,7,17.8745,375.3645,2019-01-12,11:42:00,C,357.49,17.8745,7.0
659-36-1684,C,Naypyitaw,1,0,ST,57.12,7,19.992,419.832,2019-01-12,12:02:00,CC,399.84,19.992,6.5
704-48-3927,A,Yangon,1,0,EA,88.67,10,44.335,931.035,2019-01-12,14:50:00,E,886.7,44.335,7.3
381-20-0914,A,Yangon,1,1,FA,20.01,9,9.0045,189.0945,2019-01-12,15:48:00,CC,180.09,9.0045,5.7
751-41-9720,C,Naypyitaw,0,0,HL,97.5,10,4.154,87.234,2019-01-12,16:18:00,E,83.08,4.154,8.0
647-50-1224,A,Yangon,0,1,FA,29.42,10,14.71,308.91,2019-01-12,16:23:00,E,294.2,14.71,8.9
751-15-6198,B,Mandalay,0,0,ST,23.01,6,6.903,144.963,2019-01-12,16:45:00,E,138.06,6.903,7.9
848-07-1692,B,Mandalay,0,1,HB,57.22,2,5.722,120.162,2019-01-12,17:13:00,E,114.44,5.722,8.3
197-77-7132,B,Mandalay,1,0,EA,91.56,8,36.624,769.104,2019-01-12,18:22:00,E,732.48,36.624,6.0
296-11-7041,B,Mandalay,1,1,HB,27.07,1,1.3535,28.4235,2019-01-12,20:07:00,CC,27.07,1.3535,5.3
460-93-5834,A,Yangon,0,0,ST,45.58,7,15.953,335.013,2019-01-13,10:03:00,C,319.06,15.953,5.0
195-06-0432,A,Yangon,1,0,HL,81.01,3,12.1515,255.1815,2019-01-13,12:55:00,CC,243.03,12.1515,9.3
784-08-0310,C,Naypyitaw,1,1,FB,21.04,4,4.208,88.368,2019-01-13,13:58:00,C,84.16,4.208,7.6
339-38-9982,B,Mandalay,1,0,FA,59.86,2,5.986,125.706,2019-01-13,14:55:00,E,119.72,5.986,6.7
732-94-0499,C,Naypyitaw,0,1,EA,41.65,10,20.825,437.325,2019-01-13,17:04:00,CC,416.5,20.825,5.4
397-25-8725,A,Yangon,1,1,HB,39.62,9,17.829,374.409,2019-01-13,17:54:00,CC,356.58,17.829,6.8
459-50-7686,A,Yangon,0,1,EA,23.46,6,7.038,147.798,2019-01-13,19:14:00,E,140.76,7.038,6.4
556-86-3144,C,Naypyitaw,1,1,FA,74.29,1,3.7145,78.0045,2019-01-13,19:30:00,C,74.29,3.7145,5.0
327-40-9673,B,Mandalay,1,0,ST,72.6,6,21.78,457.38,2019-01-13,19:51:00,C,435.6,21.78,6.9
355-34-6244,B,Mandalay,0,0,FB,72.39,2,7.239,152.019,2019-01-13,19:55:00,CC,144.78,7.239,8.1
426-39-2418,C,Naypyitaw,0,0,EA,61.41,7,21.4935,451.3635,2019-01-14,10:02:00,C,429.87,21.4935,9.8
320-85-2052,B,Mandalay,0,1,ST,34.81,1,1.7405,36.5505,2019-01-14,10:11:00,CC,34.81,1.7405,7.0
559-61-5987,B,Mandalay,0,1,HB,17.75,1,0.8875,18.6375,2019-01-14,10:38:00,C,17.75,0.8875,8.6
704-10-4056,C,Naypyitaw,1,0,HB,60.47,3,9.0705,190.4805,2019-01-14,10:55:00,CC,181.41,9.0705,5.6
868-52-7573,B,Mandalay,0,1,FB,99.69,5,24.9225,523.3725,2019-01-14,12:09:00,C,498.45,24.9225,9.9
667-23-5919,A,Yangon,1,1,FA,96.7,5,24.175,507.675,2019-01-14,12:52:00,E,483.5,24.175,7.0
377-79-7592,C,Naypyitaw,1,1,EA,44.84,9,20.178,423.738,2019-01-14,14:00:00,CC,403.56,20.178,7.5
592-34-6155,C,Naypyitaw,0,0,FB,31.77,4,6.354,133.434,2019-01-14,14:43:00,E,127.08,6.354,6.2
451-73-2711,C,Naypyitaw,0,0,FB,84.83,1,4.2415,89.0715,2019-01-14,15:20:00,E,84.83,4.2415,8.8
658-66-3967,C,Naypyitaw,0,0,HB,53.19,7,18.6165,390.9465,2019-01-14,15:42:00,E,372.33,18.6165,5.0
359-90-3665,B,Mandalay,1,1,FA,18.08,4,3.616,75.936,2019-01-14,18:03:00,CC,72.32,3.616,9.5
785-13-7708,B,Mandalay,0,0,FB,73.06,7,25.571,536.991,2019-01-14,19:06:00,CC,511.42,25.571,4.2
588-47-8641,A,Yangon,1,0,FA,56.04,10,28.02,588.42,2019-01-14,19:30:00,E,560.4,28.02,4.4
301-11-9629,A,Yangon,0,1,ST,19.1,7,6.685,140.385,2019-01-15,10:43:00,C,133.7,6.685,9.7
589-02-8023,A,Yangon,1,0,FB,83.77,2,8.377,175.917,2019-01-15,10:54:00,CC,167.54,8.377,7.0
437-58-8131,B,Mandalay,0,1,FA,73.52,2,7.352,154.392,2019-01-15,13:41:00,E,147.04,7.352,4.6
744-16-7898,B,Mandalay,0,1,HL,97.37,10,4.154,87.234,2019-01-15,13:48:00,CC,83.08,4.154,4.9
188-55-0967,B,Mandalay,1,0,HB,66.47,10,33.235,697.935,2019-01-15,15:01:00,CC,664.7,33.235,5.0
660-29-7083,C,Naypyitaw,0,0,EA,55.87,10,27.935,586.635,2019-01-15,15:01:00,C,558.7,27.935,5.8
138-17-5109,A,Yangon,1,1,HL,89.21,9,40.1445,843.0345,2019-01-15,15:42:00,CC,802.89,40.1445,6.5
299-46-1805,B,Mandalay,1,1,ST,93.72,6,28.116,590.436,2019-01-15,16:19:00,C,562.32,28.116,4.5
272-65-1806,A,Yangon,0,1,EA,60.88,9,27.396,575.316,2019-01-15,17:17:00,E,547.92,27.396,4.7
886-54-6089,A,Yangon,0,1,HL,55.752871385842475,6,3.429,72.009,2019-01-15,17:24:00,C,68.58,3.429,7.7
369-82-2676,B,Mandalay,0,0,EA,75.66,5,18.915,397.215,2019-01-15,18:22:00,E,378.3,18.915,7.8
450-28-2866,C,Naypyitaw,1,0,FB,17.44,5,4.36,91.56,2019-01-15,19:25:00,C,87.2,4.36,8.1
314-23-4520,C,Naypyitaw,1,0,HB,81.23,7,28.4305,597.0405,2019-01-15,20:44:00,C,568.61,28.4305,9.0
842-29-4695,C,Naypyitaw,1,0,ST,17.14,7,5.999,125.979,2019-01-16,12:07:00,CC,119.98,5.999,7.9
234-65-2137,C,Naypyitaw,0,0,HL,95.58,10,4.154,87.234,2019-01-16,13:32:00,C,83.08,4.154,4.8
372-62-5264,C,Naypyitaw,0,1,FB,52.6,9,23.67,497.07,2019-01-16,14:42:00,C,473.4,23.67,7.6
859-71-0933,C,Naypyitaw,1,1,ST,15.49,2,1.549,32.529,2019-01-16,15:10:00,C,30.98,1.549,6.3
659-65-8956,B,Mandalay,1,0,FA,51.36,1,2.568,53.928,2019-01-16,15:26:00,E,51.36,2.568,5.2
648-83-1321,A,Yangon,1,0,HL,63.56,10,31.78,667.38,2019-01-16,17:59:00,C,635.6,31.78,4.3
347-72-6115,B,Mandalay,1,1,ST,90.74,7,31.759,666.939,2019-01-16,18:03:00,CC,635.18,31.759,6.2
677-11-0152,C,Naypyitaw,0,1,FB,93.26,9,41.967,881.307,2019-01-16,18:08:00,C,839.34,41.967,8.8
618-34-8551,A,Yangon,0,1,ST,93.18,2,9.318,195.678,2019-01-16,18:41:00,CC,186.36,9.318,8.5
286-62-6248,B,Mandalay,0,0,FA,39.21,4,7.842,164.682,2019-01-16,20:03:00,CC,156.84,7.842,9.0
679-22-6530,B,Mandalay,0,1,ST,40.62,2,4.062,85.302,2019-01-17,10:01:00,CC,81.24,4.062,4.1
349-97-8902,B,Mandalay,1,0,FB,57.89,2,5.789,121.569,2019-01-17,10:37:00,E,115.78,5.789,8.9
101-81-4070,C,Naypyitaw,1,1,HB,62.82,2,6.282,131.922,2019-01-17,12:36:00,E,125.64,6.282,4.9
746-54-5508,A,Yangon,0,0,HL,21.52,6,6.456,135.576,2019-01-17,12:48:00,CC,129.12,6.456,9.4
698-98-5964,A,Yangon,0,1,FB,81.21,10,40.605,852.705,2019-01-17,13:01:00,CC,812.1,40.605,6.3
600-38-9738,C,Naypyitaw,1,0,ST,71.92,5,17.98,377.58,2019-01-17,15:05:00,CC,359.6,17.98,4.3
497-37-6538,A,Yangon,0,0,ST,58.91,7,20.6185,432.9885,2019-01-17,15:15:00,E,412.37,20.6185,9.7
670-79-6321,B,Mandalay,1,1,HL,94.59,7,33.1065,695.2365,2019-01-17,15:27:00,CC,662.13,33.1065,4.9
200-16-5952,C,Naypyitaw,1,0,FB,65.65,2,6.565,137.865,2019-01-17,16:46:00,C,131.3,6.565,6.0
445-30-9252,A,Yangon,0,0,ST,25.7,3,3.855,80.955,2019-01-17,17:59:00,E,77.1,3.855,6.1
280-35-5823,B,Mandalay,1,1,HL,86.72,1,4.336,91.056,2019-01-17,18:45:00,E,86.72,4.336,7.9
562-12-5430,A,Yangon,1,1,FA,88.15,3,13.2225,277.6725,2019-01-18,10:11:00,E,264.45,13.2225,7.9
414-12-7047,B,Mandalay,0,0,FB,19.79,8,7.916,166.236,2019-01-18,12:04:00,E,158.32,7.916,8.7
821-14-9046,B,Mandalay,1,1,FA,17.48,6,5.244,110.124,2019-01-18,15:04:00,CC,104.88,5.244,6.1
622-20-1945,C,Naypyitaw,0,1,HB,39.42,1,1.971,41.391,2019-01-18,15:08:00,C,39.42,1.971,8.4
678-79-0726,C,Naypyitaw,1,1,ST,90.63,9,40.7835,856.4535,2019-01-18,15:28:00,C,815.67,40.7835,5.1
781-84-8059,C,Naypyitaw,0,0,FA,60.74,7,21.259,446.439,2019-01-18,16:23:00,E,425.18,21.259,5.0
166-19-2553,A,Yangon,1,0,ST,89.06,6,26.718,561.078,2019-01-18,17:26:00,C,534.36,26.718,9.9
706-36-6154,A,Yangon,1,0,HL,55.752871385842475,9,8.712,182.952,2019-01-18,18:43:00,E,174.24,8.712,8.7
700-81-1757,A,Yangon,0,1,EA,26.31,5,6.5775,138.1275,2019-01-18,20:59:00,CC,131.55,6.5775,8.8
761-49-0439,B,Mandalay,1,1,EA,12.1,8,4.84,101.64,2019-01-19,10:17:00,E,96.8,4.84,8.6
779-06-0012,C,Naypyitaw,1,1,HL,88.61,1,4.4305,93.0405,2019-01-19,10:21:00,C,88.61,4.4305,7.7
151-27-8496,C,Naypyitaw,0,1,EA,56.13,4,11.226,235.746,2019-01-19,11:43:00,E,224.52,11.226,8.6
728-47-9078,C,Naypyitaw,1,0,FB,59.59,4,11.918,250.278,2019-01-19,12:46:00,C,238.36,11.918,9.8
482-17-1179,A,Yangon,1,0,EA,11.94,3,1.791,37.611,2019-01-19,12:47:00,CC,35.82,1.791,8.1
125-45-2293,A,Yangon,0,1,FA,99.1,6,29.73,624.33,2019-01-19,13:11:00,C,594.6,29.73,4.2
149-61-1929,A,Yangon,0,0,ST,64.19,10,32.095,673.995,2019-01-19,14:08:00,CC,641.9,32.095,6.7
882-40-4577,A,Yangon,1,0,ST,67.26,4,13.452,282.492,2019-01-19,15:28:00,CC,269.04,13.452,8.0
375-72-3056,B,Mandalay,0,0,ST,63.06,3,9.459,198.639,2019-01-19,15:58:00,E,189.18,9.459,7.0
284-54-4231,C,Naypyitaw,1,0,ST,80.93,1,4.0465,84.9765,2019-01-19,16:08:00,CC,80.93,4.0465,9.0
796-32-9050,A,Yangon,0,0,FB,51.28,6,15.384,323.064,2019-01-19,16:31:00,C,307.68,15.384,6.5
608-27-6295,B,Mandalay,1,0,EA,52.89,6,15.867,333.207,2019-01-19,17:34:00,CC,317.34,15.867,9.8
809-69-9497,A,Yangon,0,1,HL,45.68,10,22.84,479.64,2019-01-19,19:30:00,E,456.8,22.84,5.7
894-41-5205,C,Naypyitaw,0,1,FB,43.18,8,17.272,362.712,2019-01-19,19:39:00,CC,345.44,17.272,8.3
645-44-1170,A,Yangon,1,0,HL,58.07,9,26.1315,548.7615,2019-01-19,20:07:00,E,522.63,26.1315,4.3
832-51-6761,A,Yangon,0,0,FB,33.88,8,13.552,284.592,2019-01-19,20:29:00,E,271.04,13.552,9.6
725-96-3778,C,Naypyitaw,1,1,HL,89.25,8,35.7,749.7,2019-01-20,10:13:00,C,714.0,35.7,4.7
458-10-8612,C,Naypyitaw,0,0,HB,64.08,7,22.428,470.988,2019-01-20,12:27:00,E,448.56,22.428,7.6
356-44-8813,B,Mandalay,0,0,HL,37.48,3,5.622,118.062,2019-01-20,13:45:00,CC,112.44,5.622,7.7
787-87-2010,A,Yangon,1,0,HB,55.5,4,11.1,233.1,2019-01-20,15:48:00,CC,222.0,11.1,6.6
817-48-8732,A,Yangon,1,1,HL,72.35,10,36.175,759.675,2019-01-20,15:55:00,C,723.5,36.175,5.4
257-73-1380,C,Naypyitaw,1,0,ST,82.93,4,16.586,348.306,2019-01-20,16:51:00,E,331.72,16.586,9.6
410-67-1709,A,Yangon,1,1,FA,63.88,8,25.552,536.592,2019-01-20,17:48:00,E,511.04,25.552,9.9
645-78-8093,A,Yangon,0,1,ST,93.14,2,9.314,195.594,2019-01-20,18:09:00,E,186.28,9.314,4.1
760-27-5490,C,Naypyitaw,0,0,FA,15.62,8,6.248,131.208,2019-01-20,20:37:00,E,124.96,6.248,9.1
378-24-2715,B,Mandalay,0,0,HL,53.44,2,5.344,112.224,2019-01-20,20:38:00,E,106.88,5.344,4.1
316-68-6352,A,Yangon,1,1,FB,36.36,2,3.636,76.356,2019-01-21,10:00:00,C,72.72,3.636,7.1
870-72-4431,C,Naypyitaw,0,1,HB,99.19,6,29.757,624.897,2019-01-21,14:42:00,CC,595.14,29.757,5.5
239-10-7476,A,Yangon,0,1,HL,77.95,6,23.385,491.085,2019-01-21,16:37:00,E,467.7,23.385,8.0
401-18-8016,B,Mandalay,1,1,ST,98.13,1,4.9065,103.0365,2019-01-21,17:36:00,C,98.13,4.9065,8.9
462-67-9126,A,Yangon,0,0,HL,73.22,6,21.966,461.286,2019-01-21,17:44:00,C,439.32,21.966,7.2
